Removed Pin From Net: NetName=PHOTO_ADC_EOC Pin=U12-58
Added Pin To Net: NetName=DAC_nCS_2 Pin=U12-1
Added Pin To Net: NetName=DAC_nCS_3 Pin=U12-2
Added Pin To Net: NetName=DAC_nCS_4 Pin=U12-3
Added Pin To Net: NetName=LASER_DAC_CS Pin=U12-36
Added Pin To Net: NetName=LASER_SW_INT_CS Pin=U12-40
Added Pin To Net: NetName=TEC_ADC Pin=U12-41
Added Pin To Net: NetName=LASER_SW_EXT_CS Pin=U12-45
Added Pin To Net: NetName=LASER_ADC2 Pin=U12-58
Added Pin To Net: NetName=PHOTO_ADC_EOC Pin=U12-63
Added Pin To Net: NetName=IRQ_1 Pin=U12-64
Added Pin To Net: NetName=IRQ_0 Pin=U12-65
Added Pin To Net: NetName=EF_12_AUX Pin=U12-67
Added Pin To Net: NetName=LED_G Pin=U12-68
Added Pin To Net: NetName=LED_B Pin=U12-69
Added Pin To Net: NetName=LASER_ADC1 Pin=U12-70
Added Pin To Net: NetName=DAC_nLDAC Pin=U12-97
Added Pin To Net: NetName=DAC_nCS_1 Pin=U12-98
