Altium Designer Pick and Place Locations
D:\Altium_WorkSpace\EXP_V2\01_DESIGN\EXP_HW_V2\Project Outputs for EXP_HW_V2\Pick Place for EXP_V110.csv

========================================================================================================================
File Design Information:

Date:       19/02/25
Time:       15:42
Revision:   cafde21bfeb86eb9c5aee3d794ea2fc79d9087f1
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"U20","STM32F407VGT7","TopLayer","LQFP-100-EXP-V110","1605.003","1499.997","0","ARM® Cortex®-M4 STM32F4 Microcontroller IC 32-Bit Single-Core 168MHz 1MB (1M x 8) FLASH 100-LQFP (14x14)"
"C139","0.1uF/10V","BottomLayer","CAP_C_1608X80","1141.732","2693.542","270",""
"C122","0.1uF/10V","BottomLayer","CAP_C_1608X80","1301.000","2693.542","270",""
"R30","22R","TopLayer","RES_C_1608X60","1234.370","1756.841","90","SMD"
"J3","0532611571","TopLayer","0532611571","2915.354","2344.882","90","Conn Shrouded Header (4 Sides) HDR 15 POS 1.25mm Solder RA Side Entry SMD PicoBladeâ„¢ T/R"
"R149","10k","TopLayer","RES_C_1608X60","497.937","2757.263","180","SMD"
"R134","22R","TopLayer","RES_C_1608X60","2620.778","1676.711","180","SMD"
"R133","22R","TopLayer","RES_C_1608X60","2748.063","1676.710","180","SMD"
"R132","22R","TopLayer","RES_C_1608X60","2748.063","1593.925","180","SMD"
"R131","22R","TopLayer","RES_C_1608X60","2748.063","1511.140","180","SMD"
"R130","22R","TopLayer","RES_C_1608X60","2748.063","1429.354","180","SMD"
"R129","22R","TopLayer","RES_C_1608X60","2748.063","1345.569","180","SMD"
"R128","22R","TopLayer","RES_C_1608X60","2748.063","1262.784","180","SMD"
"R127","22R","TopLayer","RES_C_1608X60","2748.063","1179.998","180","SMD"
"R126","22R","TopLayer","RES_C_1608X60","2748.063","931.643","180","SMD"
"R125","22R","TopLayer","RES_C_1608X60","2748.063","1097.213","0","SMD"
"R124","22R","TopLayer","RES_C_1608X60","2748.063","766.072","180","SMD"
