Altium Designer Pick and Place Locations
D:\LAB\NANORACK_V2_EXP_1.1.1_HW\01_DESIGN\EXP_HW_V3\Project Outputs for EXP_HW_V3\Pick Place for EXP_V111.txt

========================================================================================================================
File Design Information:

Date:       08/04/25
Time:       09:57
Revision:   793867958413ee860b23d7dfddf3f075355123fc
Variant:    No variations
Units used: mil

Designator Comment                Layer       Footprint                  Center-X(mil) Center-Y(mil) Rotation Description                                                                                  
U2         TPS5430DDAR            TopLayer    TPS5430DDAR                1661.890      533.779       270      "IC REG BUCK ADJ 3A 8SOPWR"                                                                  
R155       4.7k                   BottomLayer RES_C_1608X60              1699.967      533.425       90       SMD                                                                                          
C22        0.1uF/10V              TopLayer    CAP_C_1608X80              445.366       2186.024      90       ""                                                                                           
C23        0.1uF/10V              TopLayer    CAP_C_1608X80              915.354       2186.024      90       ""                                                                                           
C24        10uF/10V               TopLayer    CAP_C_1608X80              179.618       2283.465      270      ""                                                                                           
C25        10uF/10V               TopLayer    CAP_C_1608X80              649.606       2283.465      270      ""                                                                                           
C26        0.1uF/10V              TopLayer    CAP_C_1608X80              485.224       2284.448      180      ""                                                                                           
C27        0.1uF/10V              TopLayer    CAP_C_1608X80              955.212       2284.448      180      ""                                                                                           
C28        0.1uF/10V              TopLayer    CAP_C_1608X80              120.563       2067.913      90       ""                                                                                           
C29        0.1uF/10V              TopLayer    CAP_C_1608X80              580.709       2067.913      90       ""                                                                                           
C30        0.1uF/10V              TopLayer    CAP_C_1608X80              228.831       1979.331      0        ""                                                                                           
C31        0.1uF/10V              TopLayer    CAP_C_1608X80              698.819       1979.331      0        ""                                                                                           
C34        0.1uF/10V              TopLayer    CAP_C_1608X80              1403.029      2186.024      90       ""                                                                                           
C35        0.1uF/10V              TopLayer    CAP_C_1608X80              1869.590      2186.024      90       ""                                                                                           
C36        10uF/10V               TopLayer    CAP_C_1608X80              1137.282      2283.465      270      ""                                                                                           
C37        10uF/10V               TopLayer    CAP_C_1608X80              1603.842      2283.465      270      ""                                                                                           
C38        0.1uF/10V              TopLayer    CAP_C_1608X80              1442.888      2284.449      180      ""                                                                                           
C39        0.1uF/10V              TopLayer    CAP_C_1608X80              1909.449      2284.449      180      ""                                                                                           
C40        0.1uF/10V              TopLayer    CAP_C_1608X80              1052.636      2067.913      90       ""                                                                                           
C41        0.1uF/10V              TopLayer    CAP_C_1608X80              1544.787      2067.913      90       ""                                                                                           
C42        0.1uF/10V              TopLayer    CAP_C_1608X80              1186.494      1979.331      0        ""                                                                                           
C43        0.1uF/10V              TopLayer    CAP_C_1608X80              1653.055      1979.331      0        ""                                                                                           
L2         1uH                    TopLayer    L-SMD-M-3.5X3.5X2MM        328.760       2311.751      270      ""                                                                                           
L3         1uH                    TopLayer    L-SMD-M-3.5X3.5X2MM        798.748       2311.751      270      ""                                                                                           
L4         1uH                    TopLayer    L-SMD-M-3.5X3.5X2MM        1286.423      2311.751      270      ""                                                                                           
L5         1uH                    TopLayer    L-SMD-M-3.5X3.5X2MM        1752.984      2311.751      270      ""                                                                                           
R21        10R                    TopLayer    RES_C_1608X60              512.791       2186.024      90       SMD                                                                                          
R22        10R                    TopLayer    RES_C_1608X60              984.252       2186.024      90       SMD                                                                                          
R23        91k                    TopLayer    RES_C_1608X60              445.366       2067.913      270      SMD                                                                                          
R24        91k                    TopLayer    RES_C_1608X60              915.354       2067.913      270      SMD                                                                                          
R27        36.5k                  BottomLayer RES_C_1608X60              445.366       2067.913      90       SMD                                                                                          
R28        36.5k                  BottomLayer RES_C_1608X60              915.354       2067.913      90       SMD                                                                                          
R31        6.65k                  TopLayer    RES_C_1608X60              512.791       2067.913      270      SMD                                                                                          
R32        6.65k                  TopLayer    RES_C_1608X60              984.252       2067.914      270      SMD                                                                                          
